iter	Passed	Remaining
0	1	119
1	2	108
2	3	103
3	4	99
4	5	98
5	6	96
6	7	95
7	8	94
8	9	93
9	10	91
10	11	90
11	12	89
12	13	87
13	14	86
14	15	86
15	16	84
16	17	83
17	18	82
18	19	81
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	42	55
43	43	54
44	44	53
45	45	52
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	43
55	54	42
56	55	41
57	56	40
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
