iter	Passed	Remaining
0	145	144954
1	147	73357
2	147	49100
3	148	36958
4	149	29682
5	152	25187
6	153	21722
7	154	19108
8	154	17065
9	155	15435
10	156	14090
11	159	13170
12	161	12226
13	161	11401
14	162	10682
15	163	10061
16	165	9586
17	167	9127
18	168	8676
19	168	8268
20	169	7899
21	170	7565
22	170	7259
23	171	6977
24	172	6741
25	173	6503
26	174	6281
27	175	6081
28	175	5891
29	176	5714
30	177	5546
31	182	5510
32	182	5359
33	183	5217
34	184	5082
35	185	4956
36	187	4891
37	188	4783
38	189	4676
39	190	4573
40	191	4475
41	192	4380
42	194	4337
43	196	4274
44	198	4202
45	199	4131
46	201	4094
47	203	4038
48	204	3977
49	205	3907
50	206	3841
51	207	3776
52	208	3732
53	210	3685
54	211	3630
55	211	3573
56	212	3518
57	214	3491
58	216	3447
59	217	3401
60	218	3356
61	218	3311
62	219	3266
63	221	3243
64	223	3211
65	223	3169
66	224	3128
67	225	3088
68	226	3050
69	226	3014
70	227	2978
71	228	2949
72	229	2915
73	230	2881
74	231	2849
75	231	2817
76	232	2786
77	233	2755
78	238	2775
79	238	2747
80	239	2721
81	240	2695
82	241	2664
83	244	2663
84	245	2641
85	246	2617
86	247	2593
87	247	2569
88	248	2546
89	252	2550
90	253	2530
91	254	2510
92	255	2489
93	255	2467
94	258	2461
95	259	2443
96	261	2429
97	261	2409
98	262	2389
99	263	2369
100	268	2387
101	268	2367
102	269	2347
103	270	2329
104	271	2310
105	273	2310
106	275	2296
107	276	2280
108	276	2263
109	277	2246
110	278	2230
111	279	2213
112	280	2204
113	281	2187
114	282	2171
115	282	2156
116	283	2139
117	284	2124
118	285	2110
119	286	2099
120	287	2084
121	287	2069
122	288	2055
123	289	2042
124	289	2028
125	290	2014
126	291	2000
127	295	2013
128	296	2001
129	297	1988
130	297	1976
131	298	1964
132	301	1967
133	302	1956
134	303	1945
135	304	1934
136	305	1923
137	306	1911
138	308	1910
139	309	1903
140	310	1893
141	311	1883
142	312	1873
143	313	1862
144	315	1861
145	316	1851
146	318	1846
147	318	1836
148	319	1826
149	320	1816
150	321	1805
151	326	1822
152	327	1811
153	327	1801
154	328	1791
155	330	1789
156	332	1786
157	333	1778
158	334	1770
159	335	1761
160	336	1751
161	339	1755
162	340	1746
163	340	1738
164	341	1729
165	342	1720
166	343	1711
167	343	1702
168	346	1703
169	347	1695
170	348	1687
171	348	1679
172	349	1670
173	350	1663
174	351	1656
175	357	1672
176	359	1670
177	362	1674
178	363	1666
179	364	1659
180	365	1651
181	365	1644
182	366	1637
183	368	1636
184	370	1631
185	371	1625
186	372	1620
187	374	1615
188	377	1618
189	378	1612
190	378	1605
191	379	1597
192	380	1590
193	383	1594
194	384	1587
195	385	1580
196	385	1573
197	386	1566
198	387	1559
199	388	1552
200	391	1557
201	392	1551
202	393	1545
203	394	1539
204	395	1533
205	397	1532
206	399	1529
207	399	1522
208	400	1516
209	401	1510
210	402	1503
211	402	1497
212	405	1496
213	406	1491
214	406	1485
215	407	1479
216	408	1473
217	409	1467
218	409	1461
219	410	1455
220	415	1465
221	416	1459
222	417	1453
223	417	1447
224	418	1441
225	421	1443
226	422	1439
227	423	1434
228	424	1429
229	425	1424
230	427	1423
231	429	1421
232	430	1416
233	431	1411
234	431	1405
235	432	1401
236	433	1396
237	437	1400
238	438	1394
239	438	1389
240	439	1384
241	440	1379
242	441	1374
243	451	1399
244	453	1397
245	454	1393
246	455	1387
247	456	1383
248	456	1377
249	459	1379
250	460	1375
251	461	1370
252	462	1365
253	463	1360
254	463	1355
255	464	1350
256	467	1350
257	468	1346
258	468	1341
259	469	1336
260	470	1331
261	471	1326
262	471	1322
263	476	1327
264	477	1323
265	477	1318
266	478	1313
267	479	1308
268	479	1304
269	483	1307
270	484	1303
271	485	1299
272	486	1295
273	487	1291
274	490	1292
275	491	1288
276	492	1285
277	493	1281
278	494	1277
279	494	1272
280	496	1269
281	497	1267
282	498	1263
283	499	1259
284	500	1254
285	500	1250
286	506	1257
287	506	1253
288	507	1248
289	508	1244
290	509	1240
291	512	1242
292	513	1238
293	514	1234
294	515	1230
295	515	1226
296	516	1222
297	519	1223
298	520	1219
299	521	1216
300	521	1212
301	522	1208
302	523	1204
303	526	1204
